query,label
central limit theorem formula and when to use it with an example,local
So key figures involved in when the berlin wall fell?,local
ok how does joins in sql actually work under the hood,local
"for class tomorrow, compare joins in sql and big O notation in one paragraph",local
is there a way to go by bus to olympia,online
please tell me your name,local
what is the traffic like on the way to kapolei,online
load balancing example in python please,local
i'd like to roll a dice and get the result,local
"For class tomorrow, important dates related to the moon landing mission details pls",local
ok key figures involved in the partition of india with an example,local
how many minutes do i cook baked ziti,local
how's the weather in tallahassee,online
"fyi need to know, current air quality index in delhi this evening",online
so sensex today's high and low no cap,online
what are the currect travel alerts in africa,online
Nifty 50 rate as of this minute,online
thread pools cheat sheet,local
Background on the industrial revolution key inventions for my essay,local
"hey, the cabinet reshuffle status update please no cap",online
The pythagorean theorem formula and when to use it,local
"hey, timeline of the periodic table history for my notes",local
"just checking, the india vs australia test result just now pls",online
i want to know your name,local
"fyi need to know, nasdaq market cap right now?",online
what do people call you,local
"hey, the main train route conditions right now because of the storm — need it fast",online
i'd like to hear a fun fact about the nfl,local
"yes, that's it",local
difference between REST vs GraphQL and singleton pattern for my notes,local
"just checking, the premier league match highlights from tonight tonight",online
Law of cosines explained with an example problem,local
how many dollars can i exchange for 25 euros,online
So the world cup qualifier highlights from tonight for the group chat,online
quick q - partial derivatives — proof and intuition — struggling with this,local
the flyover near the city center conditions right now because of the storm before i head out,online
ngl any delays on the interstate today,online
"i couldn't hear you, can you repeat it",local
"fyi need to know, who's leading in the t20 world cup game currently asap",online
who is the boss of you,local
"hey ai, don't speak fast",local
can i get you to say that once more,local
so final score of the nba game,online
give me the status of flight dl123,online
so linear regression math for my calculus homework with an example,local
main causes and effects of the russian revolution 1917,local
"Hey, how to solve problems using markov chains with an example",local
vector cross product for my calculus homework for revision,local
"speak more quickly, please",local
it was nice to speak with you,local
the india vs australia test highlights from tonight this morning,online
quick one - quick check on dogecoin before i trade before i head out,online
Urgent - any delays on the highway today in the last hour,online
what hobbies pique your interest,local
so central limit theorem explained with an example problem,local
Live score for the wimbledon final right now,online
"for my homework, derive law of sines step by step",local
tell me who is your boss,local
how can i get you to help me,local
"for class tomorrow, ancient egyptian pyramid construction — what actually happened — struggling with this",local
"genuinely curious, practice problem using convex optimization basics pls",local
So the champions league final result just now,online
Did tcs stock go up or down this morning,online
apple stock today's high and low as of now,online
ok vector cross product explained with an example problem briefly,local
current valuation on nifty 50,online
so live score for the india vs australia test at the moment,online
difference between dynamic programming and generics in java,local
urgent - did the border tensions get resolved yet this evening,online
could you let me know what names you have for me,local
how's the rupee doing against the dollar today,online
please increase volume,local
"real talk, traffic status on the subway line this morning as of now",online
i did not hear you,local
what festivals are there to see in paris,online
"for class tomorrow, timeline of the partition of india?",local
how would you say can i borrow five dollars in portuguese,local
did reliance shares go up or down this morning just curious,online
Correlation vs causation explained with an example problem,local
"need this for an interview, practice problem using convex optimization basics",local
see ya,local
important dates related to the discovery of penicillin,local
how long does pizza take to cook,local
do you think i can sub honey for sugar,local
how goes it,local
So current congestion level on the subway line today,online
translate hello to french,local
at around noon what is the traffic typically like on the route to the hopsital,online
i want a coin flipped,local
ngl live score for the world cup qualifier before my meeting,online
Is the storm system offshore affecting traffic right now,online
quick q - textbook definition of ACID properties for revision,local
tell me if you are a real person or an ai,local
what do you recommend to do in vegas,online
who makes the ai,local
"subqueries in sql, explain like i'm a beginner coder with an example",local
Current congestion level on the harbor bridge,online
So is the premier league match still playing right now rn,online
suggest some restaurants,online
"for my homework, the industrial revolution key inventions summary for history class for my notes",local
"test driven development, explain like i'm a beginner coder",local
the s&p 500 today's high and low just curious,online
so did the heatwave alert get resolved yet,online
let me know who is your boss,local
ok so is the nba game still playing right now as of now,online
"buy a flight from santa fe to jacksonville on new year's eve that returns on the fourth, please",online
set theory basics — proof and intuition,local
Quick one - the wimbledon final highlights from tonight at the moment,online
quick q - notes on mock objects in testing for my assignment briefly,local
ok so any delays on the main train route today this evening,online
i'm looking for a roundtrip flight from fwa to hsv for march first to march fifth,online
Ok so latest on the parliament session today in real time this morning,online
"genuinely curious, markov chains for my calculus homework in simple terms",local
how many euros can i exchange for 5 us dollars,online
"Compiler vs interpreter, explain like i'm a beginner coder",local
see you soon,local
final score of the grand slam tennis match no cap,online
"Need this for an interview, background on the partition of india for my essay pls",local
is the election results affecting traffic right now,online
The asia cup final score update please,online
"Hey, when should i pick message queues over race conditions — struggling with this",local
the champions league final result just now,online
"observer pattern, explain like i'm a beginner coder briefly",local
go ahead and increase your speaker volume,local
can you share the meaning of life,local
ok give me a quick rundown of the ottoman empire decline before my exam,local
my name is what,local
breaking news on the ceasefire negotiations,online
so current air quality index in tokyo,online
"genuinely curious, observer pattern, explain like i'm a beginner coder thanks",local
give me your name,local
"Genuinely curious, give me a quick rundown of the renaissance key artists for revision",local
Abstract class vs interface cheat sheet,local
Is there a heat advisory in london today,online
"fyi need to know, the highway conditions right now because of the storm rn",online
"need this for an interview, the unification of germany — what actually happened briefly",local
how many canadian dollars can i exchange for 200 yen,online
"just checking, just heard about the central bank's rate decision, what's the latest rn",online
make my volume louder please,local
do you have a list of ingredients that i'll need for blondies,local
"fyi need to know, live score for the ufc fight card pls",online
quick refresher on microservices architecture before my exam briefly,local
"restore your factory settings, please",local
Ok so current congestion level on the toll plaza right now,online
is the premier league match still playing right now,online
have you heard anything back on my cc application,online
am i talking to a real person,local
"hey, practice problem using derivative of a function briefly",local
how long is the restaurant line before we go,online
"real talk, will it rain in chicago in the next few hours for real",online
usd to inr live chart movement,online
"hey, who won the ufc fight card last night currently",online
what's the point of this dumpster fire known as life,local
change back to your factory settins,local
key figures involved in the cold war origins,local
will they take reservations at chillis,online
urgent - final score of the ashes series before i head out,online
mock objects in testing vs immutability in functional programming which is better and when,local
did the border tensions get resolved yet,online
So how to solve problems using law of cosines thanks,local
are you able to flip a two sided coin,local
so is the main train route open or blocked at the moment right now,online
"find and book a hotel in md, baltimore starting on the 7th to the 9th",online
what car rental choices are there in calgary,online
give me a quick rundown of the american civil war causes,local
Ngl is the expressway flooded from the downpour right now no cap,online
"hey, markov chains for my calculus homework — struggling with this",local
"Hey, main causes and effects of the moon landing mission details — struggling with this",local
ok walk through permutations and combinations with numbers with an example,local
how can i change inches into meters,local
can i speak to you in german,local
i can't find any of my luggage!,online
ngl bitcoin market cap right now?,online
roll a seven sided dice for me,local
Ngl infosys shares price right now before my meeting,online
what company owns your code,local
"For my homework, practice problem using eigenvalues and eigenvectors for revision",local
ok so any delays on the flyover near the city center today for real,online
so tcs stock market cap right now just curious,online
Solid overview of sharding for revision,local
i decide to switch out of whisper mode,local
can you please talk slower,local
solid overview of tail recursion for revision,local
can you talk a bit slower please,local
will it rain in seoul in the next few hours rn,online
how would you implement git rebase vs merge from scratch with an example,local
urgent - traffic status on the metro line this morning asap,online
ok notes on REST vs GraphQL for my assignment before my exam,local
Urgent - who won the nba game last night tonight,online
So is the harbor bridge open or blocked at the moment tonight,online
"real talk, what's going on with the wildfire in the hills at the moment tonight",online
"fyi need to know, the india vs australia test score update please at the moment",online
Apple stock price right now?,online
law of cosines for my calculus homework,local
thanks so much!,local
Quick check on apple stock before i trade,online
how does monads in haskell actually work under the hood,local
ngl the wimbledon final score update please,online
quick q - how would you implement two pointer technique from scratch — struggling with this,local
nifty 50 market cap right now?,online
real world use case for topological sort,local
how to solve problems using laplace transform with an example,local
what is our purpose in life,local
where are your roots,local
"For class tomorrow, explain the wright brothers first flight in a short paragraph pls",local
load balancing tutorial with code,local
Important dates related to the ottoman empire decline,local
what is 55 times 300,local
they call me john,local
multithreading in java for dummies before my exam,local
quick q - derive eigenvalues and eigenvectors step by step before my exam,local
i want whisper mode,local
The periodic table history — what actually happened,local
ok so is the interstate closed due to the accident this evening,online
any live updates on the earthquake aftershocks,online
always nice to talk to you,local
current valuation on ripple xrp while i'm stuck in traffic,online
live score for the nba game rn,online
give me a quick rundown of the printing press invention impact for revision,local
what do i have left in the gas tank,online
"Real talk, the ipl match result just now tonight",online
"hey, traffic status on the subway line this morning rn",online
"just checking, how humid is it in los angeles right now",online
"Just checking, the ashes series highlights from tonight at the moment",online
so is the vaccine rollout progress still ongoing currently,online
how humid is it in paris right now,online
final score of the world cup qualifier no cap,online
"For my homework, integration by parts formula and when to use it before my exam",local
Timeline of the discovery of penicillin,local
"Hey, dijkstra's algorithm tutorial with code briefly",local
derive integration by parts step by step — struggling with this,local
so how to solve problems using laplace transform — struggling with this,local
is the vaccine rollout progress affecting traffic right now,online
what is 7 x 7,local
can you tell me the status of my delta flight,online
current valuation on sensex,online
what name do you call me,local
So matrix multiplication rules explained with an example problem with an example,local
CAP theorem example in python please for revision,local
map reduce filter functions cheat sheet — struggling with this,local
"for my homework, how to solve problems using set theory basics",local
"just checking, is the interstate flooded from the downpour right now currently",online
"genuinely curious, real world use case for docker containers before my exam",local
"fyi need to know, is the flight delayed out of paris due to fog this evening",online
main causes and effects of the causes of world war 1,local
i'm travelling to boston soon and want to inform my bank,online
current congestion level on the highway while i'm stuck in traffic,online
backtracking algorithms tutorial with code,local
"in brooklyn, i need a hotel room for 4 from 3/15 until 3/20",online
i need to change your name to ben,local
what's your hometown,local
urgent - the central bank's rate decision developments as of today for the group chat,online
"Genuinely curious, foreign key constraints for dummies",local
quick q - explain the signing of the magna carta in a short paragraph for revision,local
so central limit theorem — proof and intuition before my exam,local
Ok important dates related to the decolonization of africa,local
real time quote for silver rate for real,online
"i keep forgetting memoization, break it down for me",local
tell me if the cheshire takes reservations,online
How does dependency injection actually work under the hood,local
"need this for an interview, explain the french revolution timeline in a short paragraph",local
is it possible for you to whisper for me,local
key figures involved in the wright brothers first flight before my exam,local
find the meaning of qat,local
"i do not think that is true, so i would say it is a false statement",local
bitcoin price right now,online
please tell me if a coin lands on tails,local
is the f1 race still playing right now right now,online
Main causes and effects of the periodic table history,local
timeline of ancient egyptian pyramid construction,local
"genuinely curious, background on the age of exploration key figures for my essay",local
can you please the timer,local
ok so is bitcoin pumping or dumping today today,online
"just heard about the border tensions, what's the latest this evening",online
that is actually false,local
"Hey, the s&p 500 market cap right now tonight",online
where are you from,local
can you read my gas level,online
why did the russian revolution 1917 happen,local
could you tell me when you were born,local
urgent - is the flyover near the city center flooded from the downpour right now in the last hour,online
Quick q - important dates related to the great depression causes — struggling with this,local
did cardano go up or down this morning,online
is there really a meaning of life,local
Quick q - walk through chain rule in calculus with numbers thanks,local
key figures involved in the mughal empire timeline,local
main causes and effects of the treaty of versailles terms,local
ok how would you implement polymorphism from scratch,local
how does heap data structure actually work under the hood,local
urgent - live score for the asia cup final currently,online
change your language,local
Explain the causes of world war 1 in a short paragraph,local
quick check on usd to inr before i trade today,online
The t20 world cup game result just now before my meeting,online
i'm traveling between denver and la so tell my bank,online
hello siri,local
derive limits and continuity step by step before my exam,local
"need this for an interview, why is monads in haskell used instead of virtual functions in c++ for my notes",local
please increase your volume,local
Practice problem using set theory basics,local
what's a fun fact about eggs,local
can i substitute skim milk for whole milk,local
thanks for your cooperation,local
"yes, that's affirmative",local
Quick one - any updates on the heatwave alert happening today?,online
what is the weather like tomorrow,online
Timeline of the age of exploration key figures,local
give me a quick rundown of the russian revolution 1917,local
"For my homework, hypothesis testing explained with an example problem for my notes",local
"Genuinely curious, the periodic table history — what actually happened",local
"i did not quite hear you, can you say it again",local
Walk through markov chains with numbers,local
timeline of the renaissance key artists,local
timeline of when the berlin wall fell — struggling with this,local
at what point should the flight land,online
what is the proper time to cook steak for,local
is a car rental available out of lax from tuesday to thursday,online
"hey, final score of the t20 world cup game for real",online
Usd to inr market cap right now,online
speak as a british male,local
Is bitcoin pumping or dumping today,online
the airport terminal conditions right now because of the storm rn,online
do you know whether you are a human or whether you're a computer,local
tell me something funny now,local
quick q - the periodic table history — what actually happened?,local
current congestion level on the ring road in the last hour,online
what sorts of queries should i give you,local
ok how to solve problems using vector cross product pls,local
"hello, are you doing alright",local
"just checking, what's going on with the covid case numbers at the moment",online
logarithm rules for my calculus homework in simple terms,local
can you change the name of what you respond to,local
state your name,local
hypothesis testing explained with an example problem,local
convert krugerrands to saudi riyal,online
ngl is the euro cup semifinal still playing right now this morning,online
urgent - the ufc fight card score update please in the last hour,online
ok so what's going on with the central bank's rate decision at the moment in the last hour,online
"hey, walk through law of sines with numbers before my exam",local
the earthquake near the coast status update please for the group chat,online
compare two pointer technique and thread pools in one paragraph,local
what can i ask you to accomplish,local
ok real world use case for virtual functions in c++,local
do i need an international visa to go to tibet,online
how much is 500 dollars in pesos,online
"genuinely curious, why is B-tree indexing used instead of virtual memory before my exam",local
quick q - convex optimization basics explained with an example problem — struggling with this,local
what's the currency conversion between usd and yen,online
background on the fall of the roman empire for my essay?,local
are the reviews for applebee's good,online
i'm traveling to morocco soon and want to inform my bank,online
ngl did the tech layoffs news get resolved yet while i'm stuck in traffic,online
how to detect a cycle in a linked list,local
i want to be switched back to my factory settings,local
"fyi need to know, is infosys shares pumping or dumping today at the moment",online
"need this for an interview, why is multiple inheritance in python used instead of SOLID principles with an example",local
"hey, real time quote for dow jones for the group chat",online
Is there a heat advisory in san francisco today,online
"hey, the pythagorean theorem for my calculus homework pls",local
"just checking, is the subway line closed due to the accident no cap",online
tell me a joke about rats,local
"for class tomorrow, why did the renaissance key artists happen for revision",local
"help, i lost my luggage",online
give me a quick rundown of the fall of the roman empire,local
i need to get a flight out of tampa to chicago in a month for under $123,online
"for my homework, set theory basics explained with an example problem with an example",local
"just checking, who's leading in the ashes series currently right now",online
usd to inr price right now,online
what does the weather look like,online
can you make reservations at hodak's,online
is there traffic on my way to work,online
how to solve problems using derivative of a function for revision,local
"hey, the india vs australia test score update please right now",online
hold on what was that you just said,local
Why is caching strategies used instead of trie data structure,local
go back to initial settings,local
i will need a rental car for travel,online
help me get a rental car,online
"for class tomorrow, central limit theorem explained with an example problem",local
dogecoin price action this week so far in the last hour,online
please go back to the settings of the original,local
"genuinely curious, chain rule in calculus — proof and intuition?",local
how bad is the supreme court verdict right now?,online
Gold rate rate as of this minute,online
water is spelled how,local
"genuinely curious, background on the renaissance key artists for my essay in simple terms",local
ok so is there a heat advisory in delhi today as of now,online
urgent - solana price action this week so far pls,online
explain the moon landing mission details in a short paragraph,local
so walk through probability distributions with numbers pls,local
inform my bank that i will be in rome from february 1 to march 1,online
"Need this for an interview, important dates related to when the berlin wall fell pls",local
what company's software engineers gave you life,local
"genuinely curious, solid overview of test driven development for revision briefly",local
The harbor bridge conditions right now because of the storm,online
notes on CAP theorem for my assignment,local
i need to find out how i know my location right now,online
ok fourier transform — proof and intuition for my notes,local
how many tablespoons and teaspoons is one cup,local
ACID properties for dummies,local
Derive gradient descent math step by step,local
"hey, summarize ACID properties in a few bullet points thanks",local
i want a hotel booked in salem near the concert hall from the first to the second,online
urgent - is the airline strike affecting traffic right now in the last hour,online
are the reviews good or bad for burger king,online
ripple xrp market cap right now rn,online
what's the current weather situation for tallahassee,online
"i need you to repeat that, please",local
Explain the theory of evolution basics in a short paragraph,local
"fyi need to know, real time quote for gold rate for real",online
ok how does virtual memory actually work under the hood for revision,local
Summarize virtual memory in a few bullet points,local
please share the definition of episcopalian,local
"so i don't get memoization, someone explain?",local
"real talk, is there a heat advisory in sydney today this evening",online
"for class tomorrow, walk through logarithm rules with numbers pls",local
Ok so is the expressway flooded from the downpour right now as of now,online
how do vietnameses people say hello,local
Ok the great depression causes — what actually happened for my notes,local
are you sure i don’t think that’s correct,local
tell me what you are capable of answering,local
i'm going to be in thailand from october 15th until october 23rd,online
difference between linked list and B-tree indexing,local
"For class tomorrow, practice problem using limits and continuity?",local
how would i say goodbye if i were norwegian,local
"just checking, is the harbor bridge closed due to the accident just curious",online
urgent - any updates on the airline strike happening today pls,online
Quick check on ethereum before i trade before my meeting,online
what is my current fuel level,online
the american civil war causes summary for history class,local
"hey, tesla stock price right now asap",online
how can i say thank you in spanish,local
so nasdaq price action this week so far this evening,online
"for my homework, main causes and effects of the periodic table history",local
help me roll a dice,local
Live score for the premier league match,online
"so i don't get deadlocks, someone explain",local
"real talk, nifty 50 live chart movement in the last hour",online
how good are the ratings for peter luger steakhouse,online
any updates on the heatwave alert happening today asap,online
what makes you happy in your free time,local
urgent - current air quality index in chennai,online
"fyi need to know, any updates on the border tensions happening today for the group chat",online
"hey, any delays on the highway today as of now",online
quick one - live score for the grand slam tennis match pls,online
"for my homework, summarize linked list in a few bullet points thanks",local
so practice problem using permutations and combinations,local
solid overview of B-tree indexing for revision,local
book an uber to school,online
Event loop in node for dummies,local
"for class tomorrow, compare virtual memory and memoization in one paragraph briefly",local
ngl who won the euro cup semifinal last night,online
Current air quality index in pune,online
the expressway conditions right now because of the storm?,online
"real talk, is the f1 race still playing right now pls",online
should i carry an umbrella in seoul today,online
you can refer to me as frank,local
that'd be a no,local
"hey, quadratic formula for my calculus homework?",local
how can i take a bus to dallas,online
oh sweet thanks,local
ok so the premier league match highlights from tonight right now,online
ok so current congestion level on the airport terminal while i'm stuck in traffic,online
so how does map reduce filter functions actually work under the hood with an example,local
walk me through message queues step by step,local
current congestion level on the expressway?,online
final score of the grand slam tennis match,online
explain the signing of the magna carta in a short paragraph,local
"I keep forgetting test driven development, break it down for me",local
Sensex rate as of this minute,online
the speaker volume needs to be increased,local
Final score of the ufc fight card,online
"Hey, dijkstra's algorithm, explain like i'm a beginner coder pls",local
so important dates related to the renaissance key artists thanks,local
So did the parliament session today get resolved yet asap,online
tell me about the reviews for olive garden,online
"fyi need to know, quick check on nasdaq before i trade while i'm stuck in traffic",online
what do you like to do for fun,local
"Genuinely curious, walk me through big O notation step by step briefly",local
tell me a joke about politicians,local
ok so traffic status on the flyover near the city center this morning just curious,online
bitcoin live chart movement rn,online
in my tank how much gas is there,online
place a marker for me where i am on the map,online
Dijkstra's algorithm example in python please,local
"just checking, is ethereum pumping or dumping today this evening",online
walk me through connection pooling step by step,local
what travel alerts are there in china,online
"For my homework, how does generics in java actually work under the hood in simple terms",local
what ingredients go in pizza,local
"For class tomorrow, give me a quick rundown of the unification of germany — struggling with this",local
"for my homework, solid overview of ci cd pipeline basics for revision?",local
who is the person you work for,local
i lost my luggage coming from new york city on american flight ab123,online
is the metro line closed due to the accident,online
yes i do like that,local
linear regression math formula and when to use it,local
is there any uber available to take me to the airport,online
so key figures involved in when the berlin wall fell?,local
Real time quote for bitcoin,online
partial derivatives for my calculus homework?,local
quick q - timeline of when the berlin wall fell thanks,local
"i'm going to canada soon, do i need a visa",online
window functions in sql vs SOLID principles which is better and when,local
so current valuation on sensex right now,online
"For my homework, thread pools tutorial with code — struggling with this",local
book a flight from bangor to las vegas on may 1st and returning july 4th,online
how do you say i'm hungry in french,local
Walk through the pythagorean theorem with numbers,local
thanks for the help,local
difference between load balancing and normalization forms,local
where do you trace your roots,local
can you speak faster please,local
partial derivatives explained with an example problem in simple terms,local
i don't know how to spell anethesia,local
tell me your guess of what my name is,local
operator overloading in c++ tutorial with code briefly,local
"genuinely curious, the unification of germany — what actually happened",local
vector cross product explained with an example problem,local
"hey, the partition of india — what actually happened — struggling with this",local
what level is my gas at,online
"For class tomorrow, difference between dynamic programming and regular expressions pls",local
"For class tomorrow, backtracking algorithms cheat sheet with an example",local
what is your birthday again,local
what is the meaning of my life,local
what's dollars yen in 10,online
ok logarithm rules — proof and intuition in simple terms,local
background on ancient egyptian pyramid construction for my essay before my exam,local
let's whisper,local
so is the subway line flooded from the downpour right now tonight,online
partial derivatives explained with an example problem,local
difference between mutex vs semaphore and monolith vs microservices,local
Correlation vs causation — proof and intuition,local
quick one - ripple xrp market cap right now for real,online
ok so how is ripple xrp trending today this evening,online
do i need to bring a visa when i go to canada next month,online
"For class tomorrow, limits and continuity for my calculus homework before my exam",local
Traffic status on the main train route this morning for real,online
the mughal empire timeline summary for history class,local
who won the wimbledon final last night,online
"Need this for an interview, why is version control branching used instead of CAP theorem for revision",local
what are reviews for ihop like,online
get me an uber,online
who's leading in the champions league final currently pls,online
"need this for an interview, set theory basics explained with an example problem?",local
can you remind me how to spell because,local
"i want to rent the cheapest car for charlottesville, virginia for march 7th through 10th, that's monday, tuesday, wednesday and thursday",online
Why did the fall of the roman empire happen?,local
i want volume at 4,local
what kind of questions are you good at answering,local
"what birthday are you celebrating this year, ai",local
would you flip a coin,local
i want you to let me know what names you have for me,local
did usd to inr go up or down this morning currently,online
what's the latest info on flight dl123,online
"hey, is the main train route closed due to the accident before my meeting",online
ok so is the premier league match still playing right now at the moment,online
the la liga clasico result just now,online
Important dates related to the printing press invention impact,local
explain the american civil war causes in a short paragraph,local
quick refresher on TCP vs UDP before my exam,local
current valuation on eur to usd just curious,online
can you recommend an indian restaurant,online
quick q - the cold war origins — what actually happened,local
the wildfire in the hills status update please today,online
"for class tomorrow, explain the ottoman empire decline in a short paragraph before my exam",local
make a reservation to stay in cali from november 11 to 15,online
what are some things to do in portland,online
would you let me know who programmed you,local
is the trade deal talks affecting traffic right now,online
Current congestion level on the expressway in the last hour,online
has anyone looked at my mastercard application,online
let me know when you were born,local
"hey, how does event loop in node actually work under the hood",local
So how to solve problems using matrix multiplication rules thanks,local
are you a human being or a robot,local
Ngl is the interstate flooded from the downpour right now for the group chat,online
"I keep forgetting merge sort, break it down for me",local
"my luggage is lost, i was on american airlines ab123 out of los angeles",online
so is the metro line flooded from the downpour right now just curious,online
"Fyi need to know, breaking news on the central bank's rate decision at the moment",online
is the t20 world cup game still playing right now before my meeting,online
"for class tomorrow, correlation vs causation explained with an example problem — struggling with this",local
real time quote for nifty 50 just curious,online
Ok so live score for the nba game currently,online
"need this for an interview, partial derivatives for my calculus homework briefly",local
so permutations and combinations — proof and intuition thanks,local
what line is the gas tank at,online
How does event loop in node actually work under the hood,local
"Fyi need to know, bitcoin market cap right now for real",online
what's the proper way of spelling seance,local
important dates related to the printing press invention impact briefly,local
"for my homework, permutations and combinations for my calculus homework before my exam",local
Quick one - is the toll plaza flooded from the downpour right now at the moment,online
how many years ago was al born,local
explain the partition of india in a short paragraph,local
whats the forecast for the weather,online
does the mediterranean grille have good reviews,online
what amount of gas do i have in my car,online
"real talk, who's leading in the f1 race currently asap",online
ok explain microservices architecture with a simple example in simple terms,local
quick q - timeline of the unification of germany with an example,local
ok practice problem using linear regression math with an example,local
i wanna swap salt for baking soda,local
what is the prep time for a 10 lb turkey,local
does france have any current travel alerts,online
